Box number,Sample coding,Treatment,Sex,Mass..g
one,UV-2,UV-,m,0.697
one,UV-2,UV-,m,0.807
one,UV-2,UV-,m,0.885
one,UV-2,UV-,m,0.921
one,UV-2,UV-,m,0.66
one,UV-2,UV-,m,0.663
one,UV-2,UV-,m,0.628
one,UV-2,UV-,m,0.979
one,UV-2,UV-,m,0.889
one,UV-2,UV-,m,0.626
one,UV-2,UV-,f,1.07
one,UV-2,UV-,f,1.317
one,UV-2,UV-,f,1.255
one,UV-2,UV-,f,1.39
one,UV-2,UV-,f,1.165
one,UV-2,UV-,f,1.279
one,UV-2,UV-,f,1.244
one,UV-2,UV-,f,1.255
one,UV-2,UV-,f,1.396
one,UV-2,UV-,f,1.029
two,UV-1,UV-,m,0.626
two,UV-1,UV-,m,0.629
two,UV-1,UV-,m,0.75
two,UV-1,UV-,m,0.791
two,UV-1,UV-,m,0.73
two,UV-1,UV-,m,0.651
two,UV-1,UV-,m,0.633
two,UV-1,UV-,m,0.656
two,UV-1,UV-,m,0.942
two,UV-1,UV-,m,0.679
two,UV-1,UV-,f,1.314
two,UV-1,UV-,f,1.292
two,UV-1,UV-,f,1.199
two,UV-1,UV-,f,1.178
two,UV-1,UV-,f,1.447
two,UV-1,UV-,f,1.173
two,UV-1,UV-,f,1.221
two,UV-1,UV-,f,1.17
two,UV-1,UV-,f,1.212
two,UV-1,UV-,f,1.415
three,UV+2,UV+,m,0.802
three,UV+2,UV+,m,0.708
three,UV+2,UV+,m,0.749
three,UV+2,UV+,m,0.543
three,UV+2,UV+,m,0.966
three,UV+2,UV+,m,0.491
three,UV+2,UV+,m,0.63
three,UV+2,UV+,m,0.49
three,UV+2,UV+,m,0.756
three,UV+2,UV+,m,0.656
three,UV+2,UV+,f,0.988
three,UV+2,UV+,f,1.626
three,UV+2,UV+,f,1.2
three,UV+2,UV+,f,1.002
three,UV+2,UV+,f,1.307
three,UV+2,UV+,f,1.36
three,UV+2,UV+,f,1.074
three,UV+2,UV+,f,1.373
three,UV+2,UV+,f,1.1
three,UV+2,UV+,f,1.197
four,UV+1,UV+,m,0.714
four,UV+1,UV+,m,0.753
four,UV+1,UV+,m,0.633
four,UV+1,UV+,m,0.674
four,UV+1,UV+,m,0.846
four,UV+1,UV+,m,0.692
four,UV+1,UV+,m,0.706
four,UV+1,UV+,m,0.661
four,UV+1,UV+,m,0.639
four,UV+1,UV+,m,0.763
four,UV+1,UV+,f,1.14
four,UV+1,UV+,f,0.87
four,UV+1,UV+,f,1.107
four,UV+1,UV+,f,1.02
four,UV+1,UV+,f,1.365
four,UV+1,UV+,f,1.177
four,UV+1,UV+,f,0.977
four,UV+1,UV+,f,0.543
four,UV+1,UV+,f,1.037
four,UV+1,UV+,f,0.805
